Name,YearPublished,GameWeight,AvgRating,MaxPlayers
It's Mine!,1998,1.0727,5.91264,5
Downtown,1996,2.25,6.32966,6
Africa 1880,1997,2.6,5.71241,6
Guerilla,1994,2.6316,6.25014,6
Extinction,1993,1.5,4.95349,6
La Guerre de l'Empereur,1997,3.3846,6.45714,7
Res Publica,1991,1.7024,5.91715,5
Catan Card Game,1996,2.4478,6.71379,2
The Very Clever Pipe Game,1996,1.5875,6.21743,4
Neue Spiele im alten Rom,1994,2.2857,6.78732,7
Ostindiska Kompaniet,1991,2.5455,4.71739,5
Vikingatid,1997,3.3,6.02343,6
Advanced Third Reich,1992,4.5328,6.91096,6
Lords of the Sierra Madre (Second Edition),1995,3.4545,6.30071,8
Monsters Ravage America,1998,2.1905,5.84342,4
Machiavelli,1977,3.2075,7.0996,8
Bazaar,1967,2.0352,6.52211,6
Rossyïa 1917,1995,4,7.28569,5
Chariot Lords,1999,2.7857,6.63242,4
Gold Digger,1990,1.1882,5.73612,5
Courtisans of Versailles,1988,1.8182,5.76501,8
Attacke,1993,1.4615,5.71611,5
Bamboleo,1996,1.2,6.34592,7
Keydom,1998,2.6667,6.82895,5
Europa 1945-2030,1998,2.6279,5.98024,6
Medieval Merchant,1998,3.0945,6.72123,6
Stadens Nyckel,1998,2.3333,5.27017,6
Lang lebe der König!,1997,2,5.17243,5
De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,1990,2.8333,7.29474,6
Tutankhamen,1993,1.5839,6.10717,6
Campanile,1996,1.6765,6.16582,5
Forum Romanum,1988,2.3824,6.74236,6
Koalition,1992,2.2941,6.45046,10
Evergreen,1999,1.9,5.5297,6
Der Fliegende Holländer,1992,2.4762,5.98511,6
Candidate,1991,2,5.61052,6
Santa Fe,1992,2.2143,6.96395,5
Arabana-Ikibiti,1997,1.875,6.20158,2
Wizard's Quest,1979,2.2622,6.19206,6
Time Agent,1992,3.4583,6.67129,6
Landlord!,1992,1.51,5.92039,6
Big Boss,1994,2.4074,7.10806,6
Highlanders,1993,2.0556,6.20604,5
Bagh Chal,1000,2.4211,5.93031,2
Chase,1985,2.6579,6.81403,2
The Mob,1993,1.875,6.43502,6
Top It,1997,1.8,5.69298,4
Scrabble,1948,2.0878,6.2753,4
The Mole in the Hole,1995,1.2874,6.29486,4
Tonga Bonga,1998,1.6818,6.41085,4
Anno 1452,1999,2.9375,6.0543,4
Ponte Vecchio,1996,2.4286,5.8017,5
Loopin' Louie,1992,1.0517,6.76431,4
Damn the Torpedoes!,1995,1.3333,4.93514,6
Russian Front,1985,3.3085,7.22465,2
Block Mania,1987,2.7568,6.5028,2
Vernissage,1993,2.7368,6.30654,5
Waterworks,1972,1.2075,5.5317,5
Advance to Boardwalk,1985,1.5507,5.39724,4
Breakthru,1965,2,5.80947,2
Jumpin,1964,1.619,5.5323,2
Circus Flohcati,1998,1.2233,6.62624,5
